record,n_beats,RR_mean_ms,RR_median_ms,RR_min_ms,RR_max_ms,SDNN_ms,RMSSD_ms,CVRR_q10,HR_bpm,mean_QRS_ms,SQI_q10
100,2270,794,797,491,1177,32,32,41,75,206,1030
100,2270,794,797,491,1177,32,32,41,75,206,1030
101,1866,966,977,266,1275,64,32,67,62,286,1024
102,3060,589,722,113,1011,256,256,445,101,2074,1031
103,2082,866,869,641,1352,32,32,37,69,163,1026
104,3494,515,672,113,4116,256,256,509,116,247,1025
105,2655,678,700,113,2138,64,128,96,88,288,1026
106,2021,892,936,405,1911,256,256,293,67,181,1026
107,2254,799,841,113,1594,128,128,164,75,179,1023
108,1963,918,1012,119,3833,256,256,285,65,3306,1027
109,2528,713,713,144,1536,32,64,45,84,218,1024
111,2127,846,850,136,1769,32,32,38,70,186,1034
112,2537,710,711,533,972,16,16,23,84,233,1028
113,1782,1005,1013,472,1386,64,64,65,59,166,1028
114,2102,855,877,116,8780,512,512,613,70,239531,1022
115,1944,923,913,680,1308,64,64,71,65,166,1017
116,2396,752,747,150,6583,128,256,174,79,270993,1032
117,1529,1176,1180,591,1288,32,32,27,51,0,1020
118,2276,792,805,444,1613,64,64,82,75,196,1033
119,1996,903,900,116,1525,256,256,290,66,12050,1029
121,1858,970,997,550,4097,64,64,67,61,209,1036
122,2475,728,727,202,916,32,32,45,82,174,1027
123,1515,1188,1197,527,1558,64,64,55,50,163,1031
124,1604,1124,1122,577,10261,256,256,233,53,209,1030
200,2597,694,672,152,1586,128,256,188,86,185,1027
201,1874,952,886,280,12925,256,512,275,63,209,1012
202,2086,844,877,363,2080,256,128,310,71,21190,1000
203,2963,608,613,113,3966,128,256,215,98,222,1028
205,2651,680,675,219,1941,64,64,96,88,209,1025
207,2277,787,862,113,8733,256,256,333,76,419,1019
208,2603,692,611,113,6638,256,256,378,86,169,1030
209,3007,599,625,219,858,64,64,109,100,200,1023
210,2597,694,688,130,2219,128,128,188,86,210,1027
212,2745,656,655,544,983,32,16,49,91,262,1026
213,3283,549,552,122,1163,32,64,59,109,133,1024
214,2256,799,794,283,1886,128,256,164,75,178,1024
215,3359,536,533,272,1094,64,64,122,111,204,1029
217,2194,821,833,125,6050,128,128,159,73,217,1023
219,2148,839,800,358,4391,128,256,156,71,143,1029
220,2046,881,891,377,1125,64,64,74,68,159,1024
221,2413,747,711,372,2025,128,256,175,80,206,1026
222,2498,721,761,116,1661,128,256,181,83,230,1024
223,2590,695,697,380,1683,64,128,94,86,186,1025
228,2058,876,872,138,4372,128,256,149,68,180,1030
230,2255,799,794,319,1038,64,32,82,75,163,1023
231,1567,1149,980,469,1802,256,64,228,52,172,1025
232,1658,1087,738,116,12602,1024,1024,964,55,566064,1025
233,3073,586,588,263,1375,128,256,223,102,129145,1025
234,2748,655,658,391,1350,32,32,50,91,195,1027
