red,ir
16287,16834
16462,16840
16419,16868
16586,16837
16521,16889
16653,16898
16629,16923
16728,16929
16766,16978
16849,16963
16889,16963
16994,17000
17000,16929
16741,16760
16371,16570
16099,16537
15938,16423
15774,16402
15790,16389
15836,16405
15881,16405
15860,16383
15914,16337
15954,16432
16005,16405
16070,16374
16102,16435
16201,16448
16266,16494
16333,16466
16427,16558
16387,16445
16062,16310
15661,16074
15427,16034
15223,15899
15083,15831
14976,15788
15089,15886
15105,15871
15202,15834
15113,15834
15255,15853
15228,15874
15411,15868
15384,15920
15578,15942
15543,16009
15750,16009
15688,16074
15836,16040
15701,15945
15392,15758
15003,15650
14884,15552
14718,15463
14600,15473
14645,15457
14755,15479
14790,15442
14801,15479
14901,15451
14960,15528
15073,15565
15159,15592
15285,15638
15341,15666
15486,15690
15503,15764
15653,15770
15648,15752
15443,15558
15094,15448
14922,15381
14801,15276
14707,15286
14761,15295
14876,15344
14949,15347
15019,15393
15091,15393
15175,15463
15266,15460
15376,15522
15476,15525
15602,15629
15712,15598
15847,15699
15943,15690
16002,15650
15691,15445
15379,15384
15161,15304
15116,15344
15043,15261
15183,15356
15239,15353
15357,15396
15360,15384
15511,15384
15478,15427
15691,15451
15709,15491
15895,15543
15906,15614
16107,15598
16118,15663
16196,15601
15822,15417
15551,15292
15255,15240
15207,15160
15035,15148
15148,15151
15215,15206
15309,15203
15352,15175
15379,15203
15462,15227
15562,15286
15658,15252
15720,15319
15814,15338
15865,15371
15941,15368
15959,15371
15688,15163
15236,15019
15032,14899
14790,14826
14626,14746
14651,14777
14742,14740
14780,14755
14828,14734
14828,14731
14868,14761
14989,14786
15059,14838
15140,14819
15188,14908
15245,14865
15306,14964
15390,14869
15140,14770
14761,14519
14436,14445
14264,14277
14137,14310
14054,14240
14124,14264
14172,14240
14207,14274
14178,14225
14272,14289
14290,14289
14433,14347
14430,14369
14586,14369
14562,14415
14777,14427
14753,14461
14933,14439
14643,14307
14298,14130
13901,14007
13799,13921
13541,13847
13549,13808
13524,13832
13621,13854
13651,13808
13675,13798
13739,13835
13820,13875
13925,13881
14003,13958
14121,13979
14226,14044
14331,14077
14398,14154
14538,14145
14417,14050
14062,13872
13729,13795
13602,13719
13476,13688
13468,13673
13567,13700
13699,13722
13782,13737
13828,13795
13903,13798
14051,13906
14161,13918
14309,14019
14414,14001
14535,14139
14629,14117
14806,14218
14866,14154
14739,14068
14309,13906
14108,13881
13954,13792
13917,13817
13949,13780
14057,13847
14135,13847
14218,13930
14229,13909
14385,13979
14430,14013
14589,14105
14640,14099
14798,14176
14858,14209
15008,14310
15110,14353
15191,14314
14774,14157
14514,13985
14172,13952
14178,13881
14038,13875
14135,13893
14092,13961
14272,13943
14191,13982
14344,13958
14355,14025
14481,14050
14500,14111
14616,14139
14645,14163
14772,14179
14793,14203
14901,14200
14970,14249
14917,14133
14505,13964
14221,13838
14011,13759
13844,13713
13801,13664
13785,13700
13903,13710
13938,13728
13987,13716
