red,ir
115965.9,105722.9
115834.4,105746.7
115741.5,105786.0
115707.2,105848.1
115675.6,105893.5
115626.1,105910.6
115573.2,105904.0
115436.8,105861.3
115259.9,105808.8
114993.0,105709.4
114637.7,105617.6
114122.3,105506.3
110759.1,107798.7
110864.7,107809.6
110713.4,107715.9
110561.4,107624.4
110488.5,107571.9
110483.4,107562.5
110231.9,107444.3
110043.7,107361.2
110025.5,107352.5
110026.5,107348.6
109976.2,107330.3
110040.5,107348.0
113649.1,99838.6
113705.9,99876.5
113656.4,99884.2
113655.1,99906.5
113435.9,99773.6
113091.0,99584.4
112891.2,99514.4
112843.8,99471.8
113149.8,99645.1
113038.3,99624.8
112881.9,99576.4
112266.6,99264.9
96968.4,84487.5
96864.2,84415.1
97662.8,84732.4
96816.8,84443.1
96116.9,84110.7
96370.4,84188.4
96470.9,84208.5
96742.8,84293.1
96724.9,84303.2
96739.1,84292.1
96308.5,84132.0
96550.5,84295.0
89607.7,77270.7
89640.6,77245.7
89293.0,77094.6
89291.5,77113.4
89751.3,77379.8
89858.1,77383.5
89563.9,77149.3
89810.9,77362.4
90041.9,77481.2
89501.8,77152.4
89398.3,77151.3
89630.7,77298.6
76831.4,74286.5
77218.0,74583.4
77736.9,74916.8
77998.8,75094.4
78298.3,75268.2
78543.8,75441.7
78586.3,75496.8
78202.3,75316.2
78212.1,75358.4
78360.9,75452.6
78189.3,75389.8
78160.6,75426.1
98297.2,88798.0
98028.3,88668.5
98172.2,88712.5
98275.0,88714.3
97961.4,88593.1
98277.6,88745.5
97764.1,88463.0
97873.1,88561.7
98007.1,88610.9
97960.8,88584.1
98316.3,88749.6
97224.4,88264.3
90455.1,74222.4
90276.3,74141.4
90158.9,74112.8
90439.5,74181.2
90983.6,74389.9
90801.7,74307.7
90549.0,74249.9
90970.9,74414.7
91595.2,74661.4
91808.2,74688.7
91759.3,74668.7
92071.5,74782.4
92849.7,91341.7
92751.4,91326.2
92672.1,91316.3
92165.3,91100.4
92355.3,91232.9
91634.5,90903.4
91229.0,90725.7
91497.7,90888.7
91255.9,90789.3
91032.1,90688.8
92009.5,91179.8
92236.7,91301.1
89616.4,88105.3
89524.0,88130.5
89593.6,88210.8
89796.1,88236.1
90081.8,88444.5
89670.1,88229.7
89464.7,88091.2
89415.5,88049.5
89702.7,88197.5
89637.3,88141.9
89383.6,88010.2
89074.2,87858.2
105510.3,94313.1
105413.8,94208.7
105048.5,93991.5
104760.2,93828.9
105154.3,94091.8
104926.0,93898.4
104643.6,93702.7
104563.5,93657.3
104877.2,93830.2
105042.7,93930.3
104979.5,93857.0
105142.2,93929.8
80641.4,72562.4
80505.5,72510.9
80288.9,72543.0
80314.3,72591.2
80576.0,72619.4
80800.7,72665.9
80958.1,72664.6
80891.9,72640.1
80857.2,72574.1
80569.0,72486.8
80198.9,72377.2
80022.4,72397.2
99021.5,89554.5
98697.0,89405.8
97900.7,89040.8
98422.6,89243.9
98147.0,89133.6
98080.5,88995.1
97596.2,88738.7
97114.4,88542.6
97279.0,88621.7
97029.1,88518.6
96842.3,88455.9
96725.2,88378.4
86419.1,77964.3
86091.0,77811.9
85965.2,77727.4
85959.2,77770.9
86137.1,77852.9
85569.6,77579.6
85692.3,77619.8
85125.2,77304.2
85155.0,77314.4
85026.1,77218.9
85148.5,77297.8
85174.4,77298.3
97666.2,71884.1
97157.5,71543.7
97205.9,71572.8
